Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
MU;1506161;Rio Maria (PA);1344;Hectares;500;Hectares
MU;1506187;Rondon do Pará (PA);38246;Hectares;35000;Hectares
MU;1506195;Rurópolis (PA);5200;Hectares;680;Hectares
MU;1506203;Salinópolis (PA);522;Hectares;-;Hectares
MU;1506302;Salvaterra (PA);2250;Hectares;-;Hectares
MU;1506351;Santa Bárbara do Pará (PA);235;Hectares;-;Hectares
MU;1506500;Santa Izabel do Pará (PA);400;Hectares;-;Hectares
MU;1506559;Santa Luzia do Pará (PA);1550;Hectares;-;Hectares
MU;1506583;Santa Maria das Barreiras (PA);88655;Hectares;45000;Hectares
MU;1506609;Santa Maria do Pará (PA);5675;Hectares;-;Hectares
MU;1506708;Santana do Araguaia (PA);102370;Hectares;69000;Hectares
MU;1506807;Santarém (PA);33609;Hectares;15530;Hectares
MU;1506906;Santarém Novo (PA);1491;Hectares;-;Hectares
MU;1507003;Santo Antônio do Tauá (PA);420;Hectares;-;Hectares
MU;1507102;São Caetano de Odivelas (PA);787;Hectares;-;Hectares
MU;1507151;São Domingos do Araguaia (PA);2965;Hectares;-;Hectares
MU;1507201;São Domingos do Capim (PA);7535;Hectares;-;Hectares
MU;1507300;São Félix do Xingu (PA);6596;Hectares;560;Hectares
MU;1507409;São Francisco do Pará (PA);4685;Hectares;-;Hectares
MU;1507458;São Geraldo do Araguaia (PA);4315;Hectares;-;Hectares
MU;1507466;São João da Ponta (PA);206;Hectares;-;Hectares
MU;1507474;São João de Pirabas (PA);303;Hectares;-;Hectares
MU;1507508;São João do Araguaia (PA);1450;Hectares;400;Hectares
MU;1507607;São Miguel do Guamá (PA);6408;Hectares;-;Hectares
MU;1507706;São Sebastião da Boa Vista (PA);50;Hectares;-;Hectares
MU;1507755;Sapucaia (PA);696;Hectares;-;Hectares
MU;1507805;Senador José Porfírio (PA);1119;Hectares;-;Hectares
MU;1507904;Soure (PA);...;Hectares;...;Hectares
MU;1507953;Tailândia (PA);23940;Hectares;11000;Hectares
MU;1507961;Terra Alta (PA);85;Hectares;-;Hectares
MU;1507979;Terra Santa (PA);87;Hectares;-;Hectares
MU;1508001;Tomé-Açu (PA);3140;Hectares;-;Hectares
MU;1508035;Tracuateua (PA);4972;Hectares;300;Hectares
MU;1508050;Trairão (PA);10567;Hectares;800;Hectares
MU;1508084;Tucumã (PA);1419;Hectares;250;Hectares
MU;1508100;Tucuruí (PA);35;Hectares;-;Hectares
MU;1508126;Ulianópolis (PA);77063;Hectares;50000;Hectares
MU;1508159;Uruará (PA);3419;Hectares;230;Hectares
MU;1508209;Vigia (PA);510;Hectares;-;Hectares
MU;1508308;Viseu (PA);6855;Hectares;-;Hectares
MU;1508357;Vitória do Xingu (PA);808;Hectares;-;Hectares
MU;1508407;Xinguara (PA);1255;Hectares;100;Hectares
MU;1600055;Serra do Navio (AP);692;Hectares;-;Hectares
MU;1600105;Amapá (AP);575;Hectares;26;Hectares
MU;1600154;Pedra Branca do Amapari (AP);1266;Hectares;-;Hectares
MU;1600204;Calçoene (AP);879;Hectares;-;Hectares
MU;1600212;Cutias (AP);338;Hectares;-;Hectares
MU;1600238;Ferreira Gomes (AP);1223;Hectares;700;Hectares
MU;1600253;Itaubal (AP);4005;Hectares;3400;Hectares
MU;1600279;Laranjal do Jari (AP);1181;Hectares;-;Hectares
MU;1600303;Macapá (AP);9320;Hectares;8000;Hectares
MU;1600402;Mazagão (AP);1112;Hectares;-;Hectares
MU;1600501;Oiapoque (AP);1827;Hectares;-;Hectares
MU;1600535;Porto Grande (AP);2317;Hectares;1000;Hectares
MU;1600550;Pracuúba (AP);500;Hectares;-;Hectares
MU;1600600;Santana (AP);947;Hectares;150;Hectares
MU;1600709;Tartarugalzinho (AP);7776;Hectares;6200;Hectares
MU;1600808;Vitória do Jari (AP);842;Hectares;-;Hectares
MU;1700251;Abreulândia (TO);10595;Hectares;5445;Hectares
MU;1700301;Aguiarnópolis (TO);151;Hectares;-;Hectares
MU;1700350;Aliança do Tocantins (TO);7326;Hectares;6401;Hectares
MU;1700400;Almas (TO);11275;Hectares;7800;Hectares
MU;1700707;Alvorada (TO);28135;Hectares;25000;Hectares
MU;1701002;Ananás (TO);1044;Hectares;600;Hectares
MU;1701051;Angico (TO);533;Hectares;-;Hectares
MU;1701101;Aparecida do Rio Negro (TO);38530;Hectares;22500;Hectares
MU;1701309;Aragominas (TO);1410;Hectares;400;Hectares
MU;1701903;Araguacema (TO);25630;Hectares;16000;Hectares
MU;1702000;Araguaçu (TO);10309;Hectares;8316;Hectares
MU;1702109;Araguaína (TO);8183;Hectares;7064;Hectares
MU;1702158;Araguanã (TO);21;Hectares;-;Hectares
MU;1702208;Araguatins (TO);1098;Hectares;-;Hectares
MU;1702307;Arapoema (TO);2075;Hectares;1020;Hectares
MU;1702406;Arraias (TO);1070;Hectares;-;Hectares
MU;1702554;Augustinópolis (TO);240;Hectares;-;Hectares
MU;1702703;Aurora do Tocantins (TO);227;Hectares;-;Hectares
MU;1702901;Axixá do Tocantins (TO);263;Hectares;-;Hectares
MU;1703008;Babaçulândia (TO);3308;Hectares;2200;Hectares
MU;1703057;Bandeirantes do Tocantins (TO);357;Hectares;300;Hectares
MU;1703073;Barra do Ouro (TO);5701;Hectares;5033;Hectares
MU;1703107;Barrolândia (TO);185;Hectares;-;Hectares
MU;1703206;Bernardo Sayão (TO);145;Hectares;-;Hectares
MU;1703305;Bom Jesus do Tocantins (TO);23955;Hectares;14500;Hectares
MU;1703602;Brasilândia do Tocantins (TO);763;Hectares;250;Hectares
MU;1703701;Brejinho de Nazaré (TO);26365;Hectares;23000;Hectares
MU;1703800;Buriti do Tocantins (TO);111;Hectares;-;Hectares
MU;1703826;Cachoeirinha (TO);291;Hectares;-;Hectares
MU;1703842;Campos Lindos (TO);104155;Hectares;69100;Hectares
MU;1703867;Cariri do Tocantins (TO);17823;Hectares;15790;Hectares
MU;1703883;Carmolândia (TO);151;Hectares;-;Hectares
MU;1703891;Carrasco Bonito (TO);110;Hectares;-;Hectares
MU;1703909;Caseara (TO);54941;Hectares;32798;Hectares
MU;1704105;Centenário (TO);8355;Hectares;4000;Hectares
MU;1704600;Chapada de Areia (TO);440;Hectares;250;Hectares
MU;1705102;Chapada da Natividade (TO);16859;Hectares;11976;Hectares
MU;1705508;Colinas do Tocantins (TO);51;Hectares;-;Hectares
MU;1705557;Combinado (TO);200;Hectares;-;Hectares
MU;1705607;Conceição do Tocantins (TO);226;Hectares;-;Hectares
MU;1706001;Couto Magalhães (TO);9003;Hectares;6573;Hectares
MU;1706100;Cristalândia (TO);12143;Hectares;5686;Hectares
MU;1706258;Crixás do Tocantins (TO);7788;Hectares;5673;Hectares
MU;1706506;Darcinópolis (TO);13545;Hectares;9000;Hectares
MU;1707009;Dianópolis (TO);1825;Hectares;720;Hectares
MU;1707108;Divinópolis do Tocantins (TO);11332;Hectares;7712;Hectares
MU;1707207;Dois Irmãos do Tocantins (TO);5973;Hectares;4000;Hectares
MU;1707306;Dueré (TO);12943;Hectares;1500;Hectares
MU;1707405;Esperantina (TO);191;Hectares;-;Hectares
MU;1707553;Fátima (TO);2232;Hectares;1972;Hectares
MU;1707652;Figueirópolis (TO);25274;Hectares;23580;Hectares
MU;1707702;Filadélfia (TO);301;Hectares;-;Hectares
MU;1708205;Formoso do Araguaia (TO);24952;Hectares;2300;Hectares
MU;1708254;Fortaleza do Tabocão (TO);8612;Hectares;4952;Hectares
MU;1708304;Goianorte (TO);3182;Hectares;1845;Hectares
MU;1709005;Goiatins (TO);23014;Hectares;13200;Hectares
MU;1709302;Guaraí (TO);14187;Hectares;13292;Hectares
MU;1709500;Gurupi (TO);13031;Hectares;12564;Hectares
MU;1709807;Ipueiras (TO);3708;Hectares;3141;Hectares
MU;1710508;Itacajá (TO);8957;Hectares;5829;Hectares
